ts_code,name,call_put,trade_date,exercise_price,days_to_maturity,underlying_close,market_price,rf_rate_decimal,bsm_lower_bound,bsm_upper_bound,moneyness
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-05-14,2.205,225,2.531,0.3377,0.02026,0.3533670855714601,2.531,1.1478458049886622
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-05-17,2.205,222,2.561,0.3635,0.02013,0.3828322171159195,2.561,1.1614512471655327
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-05-24,2.205,215,2.508,0.3148,0.02001,0.3288371341298566,2.508,1.1374149659863946
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-05-29,2.205,210,2.525,0.3253,0.02,0.3452271816952921,2.525,1.1451247165532878
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-06-03,2.205,205,2.502,0.2995,0.01998,0.3216054098814012,2.502,1.1346938775510202
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-06-07,2.205,201,2.495,0.302,0.01996,0.314103921200394,2.495,1.1315192743764173
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-06-13,2.205,195,2.452,0.2614,0.01989,0.270306643049512,2.452,1.112018140589569
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-06-18,2.205,190,2.454,0.2591,0.01987,0.2716894055084409,2.454,1.1129251700680272
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-06-21,2.205,187,2.446,0.251,0.01977,0.26322114502422655,2.446,1.1092970521541952
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-06-28,2.205,180,2.441,0.2417,0.01979,0.2574149228492635,2.441,1.1070294784580499
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-07-03,2.205,175,2.462,0.25,0.019640556,0.2776663770719887,2.462,1.1165532879818594
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-07-08,2.205,170,2.422,0.2117,0.019532222,0.23696835864696775,2.422,1.0984126984126985
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-07-12,2.205,166,2.481,0.2626,0.019462889,0.2954316839037672,2.481,1.1251700680272108
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-07-18,2.205,160,2.522,0.2775,0.019413333,0.33568483269594385,2.522,1.1437641723356007
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-07-23,2.205,155,2.483,0.258,0.019255556,0.29595680572711913,2.483,1.1260770975056689
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-07-26,2.205,152,2.444,0.225,0.019114444,0.2564821017781078,2.444,1.1083900226757368
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-08-02,2.205,145,2.433,0.219,0.018829444,0.24443228420666196,2.433,1.1034013605442177
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-08-07,2.205,140,2.399,0.19,0.018662222,0.20972728218666603,2.399,1.087981859410431
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-08-12,2.205,135,2.404,0.1865,0.018585,0.21410498397938849,2.404,1.090249433106576
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-08-16,2.205,131,2.434,0.2101,0.018585,0.24365891993794042,2.434,1.1038548752834467
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-08-22,2.205,125,2.43,0.201,0.018597222,0.23899882421784202,2.43,1.1020408163265307
10007139.SH,华夏上证50ETF期权2412认购2.205,C,2024-08-27,2.205,120,2.444,0.2107,0.018646667,0.2524762068570485,2.444,1.1083900226757368
